600,0
300,1.352787
200,1.468187
375,2.156470
100,2.308365
199,1.290684
299,1.970845
374,1.381499
99,1.431328
198,1.491216
373,1.474060
298,1.845371
197,1.466459
98,2.035870
372,1.673819
97,1.209514
297,2.279391
196,1.955399
371,1.646000
96,1.450280
95,1.266595
296,2.364037
370,1.542804
195,2.618260
94,1.281124
369,1.678221
295,1.840721
93,1.269133
194,2.222642
368,1.333076
92,1.352865
294,2.453907
367,1.428386
193,2.292084
91,1.641106
366,1.516665
293,1.933869
192,1.546753
90,1.859257
365,1.485993
292,1.553685
191,1.758541
89,1.565097
364,1.634574
291,1.778195
190,1.801480
88,1.472409
363,1.586367
290,1.821699
189,1.506770
87,1.652028
362,1.424367
289,1.393762
86,1.649383
188,2.074752
361,1.717469
288,1.775248
85,1.502242
187,2.086536
360,2.323740
287,1.946741
84,1.639787
286,1.627178
359,2.126254
186,2.633289
83,1.616622
285,1.535677
185,1.782734
358,2.248561
82,2.851331
284,1.694267
184,1.871224
283,1.547291
357,2.459037
81,2.226017
183,1.961235
282,1.581907
356,2.391190
80,2.100950
182,1.911815
281,1.475828
181,1.292110
79,1.906247
355,2.104157
280,1.859715
78,1.937454
354,1.987411
279,2.446669
180,3.064811
353,2.053623
77,2.177667
179,2.120183
278,2.212277
352,2.196285
76,2.174068
178,1.927318
277,1.964584
75,1.969635
351,1.996888
177,2.085858
276,2.248936
350,1.882655
74,2.056266
275,2.001501
73,1.916098
349,2.246254
176,4.299470
274,2.192215
72,1.726305
348,1.989333
175,2.224583
273,2.146329
71,1.994173
347,1.803850
70,1.270517
346,1.376971
174,2.319309
272,2.214783
345,1.360211
69,2.147804
271,1.616270
344,1.574106
270,1.855484
68,2.287657
